{'Final state': (True, True, 15, 0, 0, False, True), 'time': 10.51, 'success': 'False'}
{'Final state': (True, True, 15, 0, 0, False, True), 'time': 10.51, 'success': 'False'}
{'Final state': (True, True, 15, 0, 0, False, True), 'time': 10.51, 'success': 'False'}
{'Final state': (True, True, 15, 0, 0, False, True), 'time': 10.51, 'success': 'False'}
{'Final state': (True, True, 15, 0, 0, False, True), 'time': 10.51, 'success': 'False'}
{'Final state': (True, True, 15, 0, 0, False, True), 'time': 10.51, 'success': 'False'}
{'Final state': (True, True, 15, 0, 0, False, True), 'time': 10.51, 'success': 'False'}
{'Final state': (True, True, 15, 0, 0, False, True), 'time': 10.51, 'success': 'False'}
{'Final state': (True, True, 15, 0, 0, False, True), 'time': 10.51, 'success': 'False'}
{'Final state': (True, True, 15, 0, 0, False, True), 'time': 10.51, 'success': 'False'}
Success rate: 0.0%
